X,Y,publicaddress,caseNumber,precinct,reportedDate,reportedTime,beginDate,reportedDateTime,beginTime,offense,description,UCRCode,enteredDate,centergbsid,centerLong,centerLat,centerX,centerY,neighborhood,lastchanged,LastUpdateDateETL,OBJECTID
-93.27601057,44.94664665,0001XX 31ST ST E,MP202069686         ,5,2020/03/15 00:00:00+00,1440,2020/03/15 00:00:00+00,2020/03/15 14:40:00+00,1200,THEFT   ,OTHER THEFT                   ,7,2020/03/16 00:00:00+00,16284,-93.27601282,44.94665027,-10383438,5613126,Lyndale,2020/03/16 00:00:00+00,2020/07/15 07:00:22+00,6619
-93.30195392,44.99058876,0012XX KNOX AVE N,MP202069726         ,4,2020/03/15 00:00:00+00,1517,2020/03/15 00:00:00+00,2020/03/15 15:17:00+00,1300,AUTOTH  ,AUTOMOBILE THEFT              ,8,2020/03/14 00:00:00+00,15847,-93.30195912,44.99059354,-10386326,5620040,Near - North,2020/03/16 00:00:00+00,2020/07/15 07:00:22+00,6620
-93.29739047,44.95419941,0026XX HENNEPIN AVE ,MP202069734         ,5,2020/03/16 00:00:00+00,41,2020/03/15 00:00:00+00,2020/03/16 00:41:00+00,702,SHOPLF  ,SHOPLIFTING                   ,7,2020/03/16 00:00:00+00,17300,-93.29739573,44.954203,-10385818,5614314,East Isles,2020/03/16 00:00:00+00,2020/07/15 07:00:22+00,6621
-93.22944191,45.03041515,0034XX BENJAMIN ST NE,MP202069760         ,2,2020/03/15 00:00:00+00,2029,2020/03/12 00:00:00+00,2020/03/15 20:29:00+00,1900,BURGD   ,BURGLARY OF DWELLING          ,6,2020/03/16 00:00:00+00,11012,-93.22944654,45.03042139,-10378254,5626311,Waite Park,2020/03/16 00:00:00+00,2020/07/15 07:00:22+00,6622
-93.26887795,44.93776389,,MP202069811         ,3,2020/03/15 00:00:00+00,1730,2020/03/15 00:00:00+00,2020/03/15 17:30:00+00,1530,ASLT2   ,ASSLT W/DNGRS WEAPON          ,5,2020/03/16 00:00:00+00,,-93.26888,44.93777,-10382644,5611729,Central,2020/03/16 00:00:00+00,2020/07/15 07:00:22+00,6623
-93.28721256,45.01295363,0006XX LOWRY AVE N,MP202069839         ,4,2020/03/16 00:00:00+00,345,2020/03/06 00:00:00+00,2020/03/16 03:45:00+00,1200,CSCR    ,CSC - RAPE                    ,3,2020/03/16 00:00:00+00,25904,-93.28721804,45.0129579,-10384685,5623561,Hawthorne,2020/03/16 00:00:00+00,2020/07/15 07:00:22+00,6624
-93.29941168,44.99575994,0016XX IRVING AVE N,MP202069916         ,4,2020/03/15 00:00:00+00,2143,2020/03/15 00:00:00+00,2020/03/15 21:43:00+00,1556,ASLT2   ,ASSLT W/DNGRS WEAPON          ,5,2020/03/16 00:00:00+00,16150,-93.29941855,44.99576579,-10386043,5620854,Near - North,2020/03/16 00:00:00+00,2020/07/15 07:00:22+00,6625
-93.21689244,44.91792692,0046XX HIAWATHA AVE ,MP202069939         ,3,2020/03/15 00:00:00+00,1935,2020/03/15 00:00:00+00,2020/03/15 19:35:00+00,1911,AUTOTH  ,AUTOMOBILE THEFT              ,8,2020/03/16 00:00:00+00,21629,-93.21689298,44.91792713,-10376857,5608610,Hiawatha,2020/03/16 00:00:00+00,2020/07/15 07:00:22+00,6626
-93.29828879,44.94747318,0030XX HENNEPIN AVE ,MP202069967         ,5,2020/03/15 00:00:00+00,2004,2020/03/15 00:00:00+00,2020/03/15 20:04:00+00,1705,THEFT   ,OTHER THEFT                   ,7,2020/03/16 00:00:00+00,11281,-93.29829195,44.9474742,-10385918,5613256,CARAG,2020/03/16 00:00:00+00,2020/07/15 07:00:22+00,6627
-93.25755918,44.9500862,,MP202069970         ,3,2020/03/15 00:00:00+00,2203,2020/03/15 00:00:00+00,2020/03/15 22:03:00+00,1950,ROBPAG  ,ROBBERY PER AGG               ,4,2020/03/16 00:00:00+00,,-93.25757,44.95009,-10381384,5613667,Midtown Phillips,2020/03/16 00:00:00+00,2020/07/15 07:00:22+00,6628
